Token 273: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 274: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 275: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 276: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 277: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 278: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 279: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 280: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 281: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 282: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 283: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 284: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 285: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 286: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 287: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 288: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 289: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 290: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 291: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 292: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 293: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 294: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 295: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 296: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 297: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 298: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 299: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 300: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 301: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 302: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 303: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 304: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 305: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 306: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 307: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 308: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 309: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 310: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 311: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 312: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 313: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 314: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 315: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 316: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 317: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 318: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 319: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 320: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 321: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 322: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 323: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 324: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 325: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 326: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 327: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 328: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 329: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 330: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 331: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 332: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 333: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 334: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 335: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 336: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 337: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 338: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 339: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 340: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 341: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 342: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 343: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 344: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 345: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 346: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 347: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 348: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 349: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 350: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 351: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 352: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 353: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 354: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 355: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 356: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 357: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 358: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 359: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 360: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 361: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 362: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 363: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 364: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 365: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 366: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 367: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 368: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 369: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 370: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 371: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 372: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 373: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 374: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 375: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 376: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 377: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 378: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 379: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 380: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 381: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 382: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 383: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 384: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 385: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 386: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 387: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
